title,company,town,link
Продавець продовольчих товарів (Виноградар),Novus,Київ,https://grc.ua/vacancies/69943079
Продавець-консультант,Eldorado,Київ,https://grc.ua/vacancies/69939551
Продавець продовольчих товарів (Вишневе),Novus,Боярка,https://grc.ua/vacancies/69943064
Продавець продовольчих товарів (Виноградар),Novus,Київ,https://grc.ua/vacancies/69943070
Касир-продавець (Теремки-2),Novus,Київ,https://grc.ua/vacancies/69943071
Продавець з на випічку (Троєщина),Novus,Київ,https://grc.ua/vacancies/69943066
Продавець-консультант ( Оболонь ),Novus,Київ,https://grc.ua/vacancies/69943068
Продавець-консультант,Eldorado,Миргород,https://grc.ua/vacancies/69939550
Продавець-консультант,Eldorado,Київ,https://grc.ua/vacancies/69939552
Продавець-консультант,Eldorado,Івано-Франківськ,https://grc.ua/vacancies/69939548
Продавець-консультант,Eldorado,Рівне,https://grc.ua/vacancies/69939547
Касир,Eldorado,Київ,https://grc.ua/vacancies/69939545
Завідуючий аптекою (лівий берег),БаДМ,Київ,https://grc.ua/vacancies/69939446
Менеджер тендерного відділу по роботі з лікарнями та благодійними організаціями,БаДМ,Дніпро,https://grc.ua/vacancies/69939457
Торговий представник з авто,БаДМ,Полтава,https://grc.ua/vacancies/69939506
Продавець-консультант (молочний відділ),Novus,Тернопіль,https://grc.ua/vacancies/69943036
Касир-продавець (Печерський район),Novus,Київ,https://grc.ua/vacancies/69943045
Продавець за прилавок (м. Вокзальна),Novus,Київ,https://grc.ua/vacancies/69943048
Продавець (кондитерський відділ),Novus,Тернопіль,https://grc.ua/vacancies/69943035
Продавець (ковбасний відділ ),Novus,Тернопіль,https://grc.ua/vacancies/69943037
Продавець-консультант (Майдан Незалежності),Novus,Київ,https://grc.ua/vacancies/69943041
"Менеджер з продажу (насіння, ЗЗР, добрива)",ЕРІДОН,Харків,https://grc.ua/vacancies/69939489
"Менеджер з продажу (насіння, ЗЗР, добрива)",ЕРІДОН,Чернігів,https://grc.ua/vacancies/69939511
"Менеджер з продажу (насіння, ЗЗР, добрива)",ЕРІДОН,Ізмаїл,https://grc.ua/vacancies/69939476
"Менеджер з продажу (насіння, ЗЗР, добрива)",ЕРІДОН,Львів,https://grc.ua/vacancies/69939500
"Менеджер з продажу (насіння, ЗЗР, добрива)",ЕРІДОН,Івано-Франківськ,https://grc.ua/vacancies/69939496
Менеджер з продажу,МЕТІНВЕСТ,Кривий Ріг,https://grc.ua/vacancies/69939190
Провідний фахівець з управління оптимізацією виробництва та продажів,МЕТІНВЕСТ,Київ,https://grc.ua/vacancies/69939216
Менеджер проєктів з організації корпоративних заходів,МЕТІНВЕСТ,Київ,https://grc.ua/vacancies/69939215
Менеджер з продажу,МЕТІНВЕСТ,Київ,https://grc.ua/vacancies/69939124
Продавець за прилавок (ТЦ Глобус),Novus,Київ,https://grc.ua/vacancies/69943027
Продавець пиво-напої (Севастопольська площа) 4/4,Novus,Київ,https://grc.ua/vacancies/69943031
Проджект - менеджер,0112 GROUP,"Дніпро, вулиця Костомарівська, 8",https://grc.ua/vacancies/69943029
"Продавець-консультант магазину цифрової та побутової техніки (ТЦ ""Арена"")",Фокстрот,Рівне,https://grc.ua/vacancies/69942245
Продавець-консультант побутової техніки та електроніки,Фокстрот,Ужгород,https://grc.ua/vacancies/69942274
Продавець-консультант побутової техніки та електроніки,Фокстрот,Мукачеве,https://grc.ua/vacancies/69942289
Продавець-консультант магазину цифрової та побутової техніки,Фокстрот,Конотоп,https://grc.ua/vacancies/69942241
Продавець-консультант побутової техніки (ТРЦ Victoria Gardens),Фокстрот,Львів,https://grc.ua/vacancies/69942266
"Продавець-консультант побутової техніки і електроніки (ТЦ ""Парк"")",Фокстрот,Дрогобич,https://grc.ua/vacancies/69942271
"Продавець-консультант у магазин побутової техніки (ТЦ ""РівГош"")",Фокстрот,Київ,https://grc.ua/vacancies/69942315
Продавець-консультант магазину цифрової та побутової техніки,Фокстрот,Кременчук,https://grc.ua/vacancies/69942243
"Продавець-консультант магазину цифрової та побутової техніки (ТЦ ""Мегамолл"")",Фокстрот,Вінниця,https://grc.ua/vacancies/69942251
Продавець-консультант побутової техніки та електроніки,Фокстрот,Львів,https://grc.ua/vacancies/69942272
Продавець-консультант побутової техніки та електроніки,Фокстрот,Івано-Франківськ,https://grc.ua/vacancies/69942276
Продавець-консультант побутової техніки та електроніки,Фокстрот,Івано-Франківськ,https://grc.ua/vacancies/69942282
"Продавець-консультант побутової техніки та електроніки (ТРЦ ""Депот"")",Фокстрот,Чернівці,https://grc.ua/vacancies/69942292
Продавець-консультант у магазин побутової техніки та електроніки,Фокстрот,Фастів,https://grc.ua/vacancies/69942313
Продавець продовольчих товарів (м. Лівобережна),Novus,Київ,https://grc.ua/vacancies/69943022
Продавець-консультант (Харківський масив),Novus,Київ,https://grc.ua/vacancies/69943006
Продавець за прилавок на відділ кулінарії (Дарницький район),Novus,Київ,https://grc.ua/vacancies/69943001
Продавець на кулінарію (м. Осокорки),Novus,Київ,https://grc.ua/vacancies/69943004
Продавець-консультант (ТЦ Апрель),Novus,Київ,https://grc.ua/vacancies/69943015
Продавець продовольчих товарів (Дніпровська Набережна),Novus,Київ,https://grc.ua/vacancies/69943000
Продавець-консультант (відділ напоїв),Novus,Київ,https://grc.ua/vacancies/69943003
